	Peak_area	p_succes	GWAS_init	bg_1	bg_2	bg_3	bg_4	bg_5	P_gwas	P_ss1	FOLD1	P_ss2	FOLD2	P_ss3	FOLD3	P_ss4	FOLD4	P_ss5	FOLD5	MEAN
Macrophage_General	53874637	0.0176677788834965	69	11	16	15	18	11	2.1406252388318838e-27	0.09039538487405957	25.549038423759576	0.08283611955079291	24.653305757025567	0.0970899745110271	26.33173867047679	0.0502470462091129	20.532508817404086	0.09039538487405957	25.549038423759576	13.65957762417451
Mammary_Basal_Epi	32814222	0.010761175403000233	32	13	9	12	15	6	1.8635595139727129e-10	0.0357850820387834	6.727283622636159	0.12904784826661445	10.9414283174577	0.05612183216093065	7.778323127251171	0.011662672666919878	5.03292318594772	0.11197479545389288	10.23226860969306	4.5578926679482406
Mammary_Epithelial	38683263	0.012685882916967803	29	14	13	13	16	9	2.8961812340247595e-07	0.048212373790437045	4.965042747539538	0.06902978836297673	5.631679635723539	0.06902978836297673	5.631679635723539	0.01913080942599039	3.805098729877245	0.1278963393835521	7.320420607486336	3.071000897987299
Mammary_Luminal_Epi_1	28055908	0.00920072239038419	24	9	10	12	10	5	3.1740103952007895e-07	0.1052143640613218	6.645082071595151	0.07474337693519176	5.769028986552526	0.02846355706693743	4.204144487993424	0.07474337693519176	5.769028986552526	0.12331052438275136	7.148946852627424	3.3152769134045696
Mammary_Luminal_Epi_2	9868433	0.0032362778086207807	9	1	4	7	4	2	0.0008552526361359618	0.20444443193377596	4.44995011151263	0.1341454460103463	3.5165302027449012	0.009942500928427833	1.5320344065792275	0.1341454460103463	3.5165302027449012	0.2565537442493717	5.19260866026869	2.0824934134498716
Mast	18769418	0.006155288378015784	36	1	8	9	8	3	3.155953531477517e-20	0.040291545258618194	13.98126188088913	0.05605667527340864	15.583582703401724	0.029549046390114634	12.750195259261105	0.05605667527340864	15.583582703401724	0.1537160495209142	23.978027946668615	9.130225437786684
Melanocyte	7682410	0.0025193881338330384	7	1	5	6	4	2	0.002990395083450788	0.27745077999012024	4.533419065706628	0.03333566073463606	1.70894788840378	0.010791325029548236	1.2833591211073438	0.0857033366013329	2.3657601313891763	0.2708482693094968	4.449827981740098	1.6379991977802266
Memory_B	9902762	0.003247535743988244	31	0	6	7	6	1	1.5138672517906923e-23	0.08064624659165001	20.87029596490959	0.028252741229086734	14.732604828676754	0.010099279545807839	11.434485323810877	0.028252741229086734	14.732604828676754	0.2033722726857413	32.99066035190961	10.558958703630367
Mesothelial	25312159	0.008300930700951283	19	8	7	10	10	4	2.719561489479559e-05	0.11712977089793826	4.902116168601087	0.1459536748729562	5.4625307998695805	0.053432901076764586	3.5886908771451047	0.053432901076764586	3.5886908771451047	0.11492523388570351	4.859063355381643	2.5298707543394117
Microglia	8009401	0.0026266223539892393	11	1	5	3	6	2	7.688602173491628e-06	0.26619266221720445	8.897212473928693	0.03780212280412777	3.5952272841705435	0.18362057892181385	6.947834482061001	0.0127594261446192	2.6999454612956777	0.2709476835011491	9.017847524137883	3.5181330041072787
Myoepithelial	3599131	0.0011803077333168415	0	1	3	6	1	1	0.4008781552498701	0.3666582897665105	0.9110684881707636	0.05092410034709738	0.3070101168940855	0.0003196966104421692	0.11357878533528025	0.3666582897665105	0.9110684881707636	0.3666582897665105	0.9110684881707636	0.4375949714702464
Naive_T	10416093	0.003415878754857053	22	2	6	8	7	2	9.778147956256765e-14	0.24869951708070512	21.52772456254664	0.03360586825952127	8.828635239821397	0.004152987706389553	5.462516132470888	0.012637663419606059	6.85324541013014	0.24869951708070512	21.52772456254664	7.166549104886881
Natural_Killer_T	11492173	0.003768771035151265	31	1	6	8	5	1	1.0359129684807184e-21	0.1575207647604205	26.143846108592378	0.04618187510586121	15.712639386660246	0.006952153033423187	9.724669652762579	0.09524822059360051	20.550181590272018	0.1575207647604205	26.143846108592378	10.953453984485881
Nerve_Stromal	10633721	0.0034872482080351335	10	0	4	8	7	1	0.00036985114043551986	0.06694744627581402	2.9226538815353145	0.1489755178902901	4.150483608691757	0.004638518235151627	1.4706644447947677	0.01382527860822866	1.845815547394878	0.18133221868746252	4.628263273517775	1.7074058099284026
Oligo_Precursor	12249412	0.004017101826019703	9	2	4	6	5	3	0.003285006847281979	0.21585817728036757	3.729868204625008	0.1741730095489593	3.271938186090725	0.055924046044208	1.9829614453803501	0.10818387570883639	2.571306056771629	0.22403997228316003	3.8226277314418198	1.7712247253216329
Oligodendrocyte	12269902	0.004023821366224175	11	2	6	10	8	2	0.000287719341355424	0.2154558145961866	5.31174469384438	0.05619574409366488	2.8321528000234637	0.001025365363225575	1.1846394038695909	0.00964831480846659	1.756857193786162	0.2154558145961866	5.31174469384438	1.8532737804699468
Paneth	2726435	0.0008941136943572498	0	0	1	3	2	1	0.5003969642870344	0.5003969642870344	1.0	0.34660662219653754	0.6534320220697012	0.027608630082362237	0.1928761935051263	0.11988575515905835	0.3263946515499813	0.34660662219653754	0.6534320220697012	0.4074269465365561
Parietal	19674030	0.00645194902728118	17	4	5	13	10	3	1.3103710096481954e-05	0.176026852195965	6.4719900742870005	0.17603608261335682	6.4721854418597795	0.0012649257595754486	1.6848569018294148	0.017844455344097596	2.7924592106520008	0.14063145955089768	5.731312753612345	2.609842367278718
Pericyte_General_1	17485713	0.005734307052579867	16	6	6	7	7	4	1.1857818889232135e-05	0.125732436096783	5.469969000512731	0.125732436096783	5.469969000512731	0.07955894217416698	4.480984168630861	0.07955894217416698	4.480984168630861	0.19151135994331225	6.86257692847879	3.0267605496838224
Pericyte_General_2	16224719	0.005320773627465266	15	4	7	8	8	2	1.9336710075353265e-05	0.19553608103549672	6.650389890818278	0.06481284716729063	3.9665598882500173	0.03323978540371877	3.1884490111696575	0.03323978540371877	3.1884490111696575	0.1377694757259213	5.475557730544377	2.5264963806280707
Pericyte_General_3	21617093	0.007089161811484317	21	10	6	11	7	3	2.3563621925871997e-07	0.028033274874827506	4.269565317743684	0.15751395308317426	8.257026402859237	0.013901419427532112	3.5691809692887353	0.1233862738243707	7.293403951564112	0.11375615909357756	7.020743510009014	3.4242753285437146
Pericyte_General_4	6440996	0.002112275821319881	5	2	3	6	4	1	0.01890021355472795	0.2608847630287627	2.953524964502946	0.14210642313445382	2.0339404890749466	0.005127559970974861	0.7526052914951779	0.05797984402899974	1.39362925103403	0.3188821935818115	3.4722771768168683	1.2366747992933567
